TID,PID,#,A,W,ID,T,sX,sY,sZ,tX,tY,tZ,dX,dY,dZ,dP
0,4,2,0.7,0.1,3,0.5569534,-0.4082797,1.578848,-0.004529595,-0.3918441,1.58287,0,0.01643568,0.004022002,0.004529595,0.0169206433120318
0,4,3,0.7,0.1,3,0.5575523,-0.4040264,0.9401333,-0.01189798,-0.391844,0.9171302,0,0.01218241,0.02300304,0.01189798,0.0260298127789896
0,4,4,0.7,0.1,3,0.5440178,-0.7558908,1.459324,-0.001178741,-0.783156,1.455725,0,0.02726519,0.003598928,0.001178741,0.0275016895940829
0,4,5,0.7,0.1,3,0.6262703,-0.1628692,1.258683,-0.0279209,-0.15,1.25,0,0.01286918,0.008683443,0.0279209,0.0155247530762494
0,4,1,0.5,0.06,3.22239251961225,0.5017548,-0.7055492,1.095884,0.01686513,-0.7022542,1.103054,0,0.003295064,0.007169724,0.01686513,0.00789065154490932
0,4,2,0.5,0.06,3.22239251961225,0.4717751,-0.4276378,1.482264,-0.005101979,-0.4227458,1.487764,0,0.004892081,0.005500197,0.005101979,0.00736102087239066
0,4,3,0.5,0.06,3.22239251961225,0.4326286,-0.4174948,0.9865585,0.02208763,-0.4227457,1.012236,0,0.005250901,0.02567738,0.02208763,0.0262087763182117
0,4,4,0.5,0.06,3.22239251961225,0.4599304,-0.7127871,1.388377,0.01048142,-0.7022543,1.396946,0,0.0105328,0.008569717,0.01048142,0.0135786544283091
0,4,5,0.5,0.06,3.22239251961225,0.5426865,-0.232402,1.254549,-0.0045802,-0.25,1.25,0,0.01759797,0.004549265,0.0045802,0.0181764814282963
0,4,1,0.7,0.06,3.6629650489293,0.5295715,-0.7773139,1.047039,-0.01820576,-0.7831559,1.044275,0,0.005841911,0.002763748,0.01820576,0.00646267949020516
0,4,2,0.7,0.06,3.6629650489293,0.5428619,-0.4010859,1.569882,-0.01548201,-0.3918441,1.58287,0,0.009241819,0.01298749,0.01548201,0.0159400827494229
0,4,3,0.7,0.06,3.6629650489293,0.5448303,-0.3910716,0.9294565,0.005069911,-0.391844,0.9171302,0,0.000772357,0.0123263,0.005069911,0.0123504741026473
0,4,4,0.7,0.06,3.6629650489293,0.5137863,-0.7837165,1.450373,-0.003765762,-0.783156,1.455725,0,0.0005605221,0.005352259,0.003765762,0.005381529336843
0,4,5,0.7,0.06,3.6629650489293,0.7102814,-0.1649753,1.251837,-0.02406168,-0.15,1.25,0,0.01497525,0.001837015,0.02406168,0.0150875024527493
0,4,1,0.6,0.06,3.45943174371558,0.5421753,-0.757061,1.063214,0.004363179,-0.742705,1.073664,0,0.01435596,0.01045036,0.004363179,0.0177567904231802
0,4,2,0.6,0.06,3.45943174371558,0.5722656,-0.4083397,1.518045,-0.004772365,-0.4072949,1.535317,0,0.00104478,0.01727152,0.004772365,0.0173030900054725
0,4,3,0.6,0.06,3.45943174371558,0.4719772,-0.4145638,0.9368666,0.02690774,-0.4072949,0.9646831,0,0.007268906,0.02781641,0.02690774,0.0287504769241048
0,4,4,0.6,0.06,3.45943174371558,0.501442,-0.7419963,1.411128,0.0111717,-0.7427051,1.426336,0,0.0007088184,0.01520789,0.0111717,0.0152243962549887
0,4,5,0.6,0.06,3.45943174371558,0.5694275,-0.2029903,1.251518,-0.020881,-0.2,1.25,0,0.002990305,0.00151825,0.020881,0.00335365593152646
0,4,1,0.6,0.1,2.8073549220576,0.4881477,-0.7429733,1.062624,-0.005934,-0.742705,1.073664,0,0.0002682805,0.01104045,0.005934,0.0110437082403118
0,4,2,0.6,0.1,2.8073549220576,0.4873619,-0.4155735,1.506408,-0.01566952,-0.4072949,1.535317,0,0.008278579,0.02890849,0.01566952,0.0300705124996334
0,4,3,0.6,0.1,2.8073549220576,0.3889236,-0.4081262,0.9999428,0.01577455,-0.4072949,0.9646831,0,0.000831306,0.03525972,0.01577455,0.035269522004812
0,4,4,0.6,0.1,2.8073549220576,0.5161476,-0.7336704,1.41035,-0.01119834,-0.7427051,1.426336,0,0.009034693,0.01598537,0.01119834,0.0183618551851742
0,4,5,0.6,0.1,2.8073549220576,0.5295944,-0.2008606,1.232351,-0.006684065,-0.2,1.25,0,0.0008606613,0.01764894,0.006684065,0.0176699081966304
0,4,1,0.5,0.1,2.58496250072116,0.4449997,-0.6948471,1.092587,-0.003795922,-0.7022542,1.103054,0,0.007407069,0.01046646,0.003795922,0.0128223002646505
