T,TID,PID,X,Y,Z
89.58391,1,4,-0.2667185,1.252941,-0.01192915
89.59789,1,4,-0.2808115,1.250771,-0.01240081
89.61237,1,4,-0.2939956,1.247336,-0.01008886
89.62596,1,4,-0.3062258,1.245658,-0.01173687
89.64021,1,4,-0.3238491,1.243198,-0.01336843
89.65409,1,4,-0.3419362,1.239051,-0.01358485
89.66701,1,4,-0.3610815,1.233705,-0.01367831
89.68127,1,4,-0.382009,1.226717,-0.01298076
89.69588,1,4,-0.4027742,1.219553,-0.0128426
89.7095,1,4,-0.4227298,1.212361,-0.01252353
89.72333,1,4,-0.4423404,1.204982,-0.01225007
89.73704,1,4,-0.4621208,1.197042,-0.01182014
89.75246,1,4,-0.4824353,1.188714,-0.01157635
89.76491,1,4,-0.5033358,1.180152,-0.01218623
89.77885,1,4,-0.523899,1.171543,-0.01250148
89.79308,1,4,-0.5443417,1.163361,-0.0128994
89.80719,1,4,-0.5638009,1.155119,-0.01242828
89.82092,1,4,-0.5814843,1.147634,-0.01220673
89.83487,1,4,-0.5975562,1.141732,-0.01212603
89.84815,1,4,-0.6124436,1.136606,-0.01196951
89.86189,1,4,-0.626167,1.132156,-0.01135266
89.87724,1,4,-0.6401859,1.127178,-0.01090676
89.88998,1,4,-0.6531252,1.122381,-0.009997487
89.90375,1,4,-0.6645478,1.118309,-0.008842945
89.9184,1,4,-0.6778964,1.111938,-0.006254077
89.93176,1,4,-0.6865273,1.108347,-0.01017398
89.94597,1,4,-0.6933489,1.106309,-0.0152961
89.95978,1,4,-0.6978933,1.107116,-0.01488316
89.975,1,4,-0.7002946,1.109208,-0.01360989
89.98815,1,4,-0.7000371,1.11248,-0.01086372
90.00154,1,4,-0.6979573,1.117503,-0.008001745
90.0173,1,4,-0.6941959,1.123388,-0.006116033
90.02905,1,4,-0.6902946,1.130538,-0.006174743
90.04367,1,4,-0.6840549,1.139493,-0.006018162
90.05882,1,4,-0.6801393,1.146321,-0.005012572
90.07082,1,4,-0.6734664,1.154981,-0.005048871
90.08513,1,4,-0.6654941,1.168511,-0.006782532
90.09962,1,4,-0.6556476,1.181906,-0.00498879
90.11285,1,4,-0.6469612,1.197566,-0.003811955
90.12675,1,4,-0.6363103,1.215293,-0.002739966
90.14218,1,4,-0.6244532,1.234449,-0.003325224
90.15483,1,4,-0.6120493,1.254711,-0.004046261
90.16828,1,4,-0.5991654,1.275503,-0.004409313
90.18287,1,4,-0.5847578,1.297229,-0.005093932
90.1978,1,4,-0.5695093,1.318882,-0.006419063
90.21088,1,4,-0.554656,1.339806,-0.008629799
90.22467,1,4,-0.5399306,1.359891,-0.01113081
90.24008,1,4,-0.5249858,1.378997,-0.0130778
90.2524,1,4,-0.5101502,1.396749,-0.01436853
90.26587,1,4,-0.4957156,1.412351,-0.01533228
90.28093,1,4,-0.4819823,1.426709,-0.015526
90.29426,1,4,-0.4690685,1.439351,-0.01503533
90.30824,1,4,-0.4577202,1.450078,-0.01389426
90.32264,1,4,-0.4497855,1.45743,-0.0113256
90.33578,1,4,-0.4456262,1.463,-0.00659126
90.34974,1,4,-0.4453862,1.460741,-0.004962564
90.36384,1,4,-0.4418838,1.465287,0.0007824898
90.37897,1,4,-0.4406072,1.465187,0.003477693
90.39169,1,4,-0.4365296,1.463836,0.005438805
90.40549,1,4,-0.4319027,1.461523,0.006358624
90.42111,1,4,-0.4286169,1.455137,0.005297065
90.43327,1,4,-0.4279309,1.447892,0.003362834
90.44992,1,4,-0.4304714,1.437396,0.000587225
90.46145,1,4,-0.4331695,1.42422,-0.003136516
90.47545,1,4,-0.4353773,1.409417,-0.007301211
90.48875,1,4,-0.4366352,1.392887,-0.009917915
90.50318,1,4,-0.4339119,1.374298,-0.01256561
90.5168,1,4,-0.4341895,1.356319,-0.01478314
90.53033,1,4,-0.4345661,1.335613,-0.01628429
90.54486,1,4,-0.4348735,1.312475,-0.01865917
90.55997,1,4,-0.4356205,1.291357,-0.02064782
90.57249,1,4,-0.4369842,1.266443,-0.02163446
90.58657,1,4,-0.4377912,1.242097,-0.02279294
90.6016,1,4,-0.4376999,1.217349,-0.02358907
90.61473,1,4,-0.4359571,1.191971,-0.02304834
90.62801,1,4,-0.435045,1.168237,-0.02273971
90.64397,1,4,-0.4334558,1.143907,-0.02094084
90.6562,1,4,-0.4313896,1.121295,-0.01991791
90.66943,1,4,-0.4280747,1.099666,-0.01746231
90.68446,1,4,-0.4256121,1.078496,-0.01552367
90.69785,1,4,-0.4239529,1.058255,-0.01337993
90.71165,1,4,-0.4213611,1.039905,-0.01028782
90.72595,1,4,-0.4181672,1.024431,-0.008041382
90.74219,1,4,-0.4159285,1.011193,-0.006522417
90.75371,1,4,-0.4181263,0.99979,-0.005652726
90.76704,1,4,-0.4188688,0.9953901,-0.008573234
90.78274,1,4,-0.4211277,0.9899066,-0.005438745
90.79568,1,4,-0.4222996,0.9857067,-0.004502416
90.80965,1,4,-0.4242573,0.9834608,-0.003184319
90.82458,1,4,-0.4263313,0.9857863,-0.002117932
90.83697,1,4,-0.4281971,0.998929,-0.001157343
90.85062,1,4,-0.4306619,1.012638,-0.0003755689
90.86533,1,4,-0.4351971,1.028346,0.0001431108
90.87926,1,4,-0.4427159,1.043197,-0.0005117059
90.89265,1,4,-0.4536836,1.059117,-0.001835525
90.90783,1,4,-0.4640507,1.073563,0.0008581281
90.92085,1,4,-0.4719028,1.090621,-0.002135217
90.93446,1,4,-0.4837628,1.108301,-0.002719402
90.94828,1,4,-0.4953367,1.124858,-0.004267573
90.96369,1,4,-0.5083284,1.143908,-0.005834043
90.97778,1,4,-0.5213487,1.161712,-0.006555855
90.99029,1,4,-0.5336932,1.179312,-0.007754922
91.00576,1,4,-0.5461034,1.197013,-0.00926137
91.01805,1,4,-0.5585155,1.214862,-0.01100427
91.03127,1,4,-0.5707508,1.232035,-0.01258755
91.04644,1,4,-0.5828328,1.249102,-0.01429534
91.05978,1,4,-0.5960946,1.264887,-0.01640469
91.07391,1,4,-0.6095409,1.279439,-0.01802623
91.08832,1,4,-0.6223399,1.292685,-0.01882309
91.10154,1,4,-0.6343082,1.305969,-0.01926601
91.11557,1,4,-0.644933,1.319302,-0.02008408
91.12941,1,4,-0.6541942,1.332142,-0.02094543
